review,rating,date
The deletion option does not allow the account holder to select more thank one payee account for deletion. One is required to fill in the numbers from the grid on the reverse the debit card to confirm the deletion then why not allow multiple accounts to be selected. Because if one has more than one account to delete then one has to delete one by one and after each deletion one has to again scroll through the entire list of payees to select the next one for deletion. It would have been simple if one is allowed to select multiple accounts for deletion at one go. Is there any issue on providing this feature? To ensure that there isn't an incorrect deletion there could be a provision to provide a preview of accounts selected to delete and edit/modify if there is an incorrect entry.,5,31/12/21 9:34
"Same issue repeats - credit card tab not working especially for Sapphiro Amex cards. I can not ‘manage’ Amex cards as the app getting struck. The same old issue repeats again. bank FasTags are sometimes shown/displayed in app’s Home Screen on top but they are NOT shown other times. Clearly a bug. Link and show bank pre-paid meal card, fuel card, multi-Wallet cards into app App itself. Temporary blocking of DEBIT card is not at all good. Temporary blocking and unblocking of debit card should be similar to credit card. Option to block or unblock of CREDT card is very good. Same user interface should be applied for DEBIT card also. Existing corporate NPS account held with bank shall be shown along with total contribution and value. NPS shall be shown on top of the home screen similar to account balance and credit card due. Investment section needs lots of improvement, it is currently not user friendly not showing many details, please improve investment section with portfolios, values and graphics and bar charts like Paytm Money Thanks.",2,05/04/21 12:14
"1. The app could do with a serious makeover also ensuring that all the functionality still works. Like never have I been able to successfully close an iWish from phone. And the error has always been non descriptive.

2. When you login, they keep showing you stupid prompts for loans and such. These just won’t stop. And there is no option to “Never show me again”. The only options are “I’m interested” and “Remind me later”. And guess what… they will remind you at every single login. And god forbid, if someone accidentally does tap on their spammy banners, customer care will make your life living hell by calling you continuously at odd hours and will not listen to you when you tell them YOU DONT NEED A LOAN and they will just keep calling you till the day you die. You can’t block them because they call from a new number every time.

3. If a consumer is using an app on an iOS device, there are some implicit benchmarks iOS apps should try to achieve. But no. bank will create an app that doesn’t utilise iOS framework and do its own thing and make a stupid good for nothing app.",1,01/01/22 3:31
"Hello...all other banks like sbi RBL etc have provided the facility to directly pay their credit card bills via their app via internet banking or debit card payment from other banks even if you don’t have a savings account or checking account with them and the payment gets credited to the credit card immediately but your app has not implemented any such facility always we have to use the click2pay feature and have to wait for 3 business days for the amount to get credited to the credit card and if there is any holiday we have to wait for more than 3 business days since we don’t have any savings or checking account with you in order to pay directly ....
Please try to implement the feature of paying the credit card bill directly via the app using the net banking or debit card payments from other banks...
Your app just provides only the basic information such as due amount statement that’s it..,
Hope u will improve ur app with more features in the future upgrades...",1,27/12/18 15:37
"The update has a great new User Interface. Love the new Analytics feature called  “Discover” introduced which gives you a spending overview, expense timeline, upcoming scheduled expenses, status of service requests.
What I loved the most was the Cashflow Analysis and estimated budget analysis explained by colourful bar graphs. Its like having my personal Excel sheet of expenses which summarises my expenses for me in all kinds if ways.
There is also a Knowledge Horizon section, which gives you really helpful tips on saving money, taking insurances and others..
Happy to see that bank has taken a step ahead and gone beyond conventional banking practices by introducing features which not only help you transact your money, but also advices you to manage and save it well. A job neatly done!",5,24/12/18 9:26
"I like to set limits for all transactions just because I do not get overboard with spends. Before the previous update I was able to do that just fine, however lately I am unable to set a limit of my choice. Once I set the limits and click on submit a pop-up comes up stating the limit should be between 100 and X amount and limits applied, however once I roll back to previous menu and go to limits section again, the limits are set back to default. Why on earth would anyone give an option to set limit if a customer is limited by a stupid app. 
Adding more to this I am having payments for my apple subscriptions getting declined and me updating my payment details in app store over and over again due to this bug in your app. 
Get it resolved or be ready for a complaint with RBI as this is cheating in terms of service with the customer. By not allowing a user to set desired limit you’re exposing their liability in case of any fraud.",1,17/10/21 22:54
"New version upgrade to 6.0 is a disaster. App allows to login beyond which the application stops working. Reason being a pop up Apply Now comes up, which cannot be by passed. This version does not have location services, however the options in the pop up pages loops in insisting on pop up. Entire mobile banking experience has come to a stand still. This needs an immediate fix, considering the current social distancing requirement. Can’t the developers test the application before release?

I had to upgrade bcos, the fund transfer feature was hanging. I don’t think even that would be fixed. Application needs complete assessment and rethink",5,03/10/20 18:38
"To whom ever it concern, I had downloaded app and I have been trying to login  through registered mobile number  and it is unable to login . There is some kind of error displaying repeatedly  saying this
(Your account is not linked to user ID with the mobile number registered in our records . Please register the mobile number again in your savings account)
My account is already linked to user ID and mobile number , I had already register my mobile through ATM service one week   Ago , but still couldn’t login to app . If my mobile number is not registered how am I getting all other Account related messages OTP and stuff and I am able to login internet banking through the same mobile number which is not working for app   . What hell is this the customer responded saying I don’t have internet banking , from the  branch side they had updated everything . There is no response from app developer for my mails",1,04/07/20 12:40
"This App Lacks So Many Things, For Starters Let's Just Talk About UI/UX Which Is Really Really Bad. This App Takes 5-6 Seconds Before You Could Log In, Secondly This App Is Partly Compatible With iPhone Devices Having Notch Display. Sometimes The Fonts Are Too Big, The Time Is Half Visible While Usig The App On Top Of Phone Screen. Now, If We Talk About The Features This App Lacks The Basic Things Like You Can't See Unbilled Transaction ( Which Hasn't Been Settled Yet) Suppose You Make A Payment Using Your Credit Card That Transaction Takes At Least 3 Days Before It Can Be Displayed On App. Other Than That Non-bank Bank Customers Who Use This App For Their Credit Card They Can't Pay Their Bill, The Pay Bill Option Doesn't Work For Non-bank Saving Account Holder. If Suppose You Have Made A Payment Of Your Credit Card Using Third Party App, There Is No Way You Can Check Your Payment History In App. I Think bank Bank Should Invest More Money In IT Sector And Improve Everything That's Wrong With This App.",1,05/02/20 15:56
"I really liked ICCI mobile banking application. It has various features of enjoying banking benefits being anywhere &  interface oh this app is also too good!

Only thing which i want to advice is please give a review of payback points earned by icci debit / credit card.  You should be showing analysis of how many points ( payback ) earned on how much amount of transaction on which shop or retailer or any purchase!   It’s something similar how axis bank show their axis edge rewards earned by their customers  on which transaction & how much points under.  Points transaction menu!   I wish to be such a feature in ICCI MOBILE APP TOO
 I WOULD LOVE TO SEE THIS FEATURE SOON!",5,29/06/20 3:17
"Have been noticing the changes that bank has been making to its customers’ banking needs and experience. The current version gives me a consolidated view of all - savings, credit card, loans. The visual analytics is making a ton of difference which allows the user to explore and retains interest in continuing to use the app. Ease of use has increased tremendously in recent times. This app is no less than some of the best International finance/banking apps. Thank you bank Bank, Happy to be your customer! Keep it up.",5,07/12/21 4:53
"Im using many credit cards. Recently received bank credit card and dowloaded this app. For login it requires registered mobile number . I have opened website in that it is mentioned that mobile number may be registered through bank ATM. I went to ATM and tried it is asking from card Pin. I dont have pin. So i went back to home and tried for pin. I have generated 3 d secure pin. Then again I tried in Atm. Again negative. I needs card pin and the only option is visiting the bank. 
Now please explain, did bank credit card service people, do u people have brains? If u dont believe our mobile number, why u guys calling us asking to apply for credit card. IF OTP from our mobile is not sufficient then dont call us waste our time. Is visiting ur bank that much necessary in these pandemic days? 

Brain less credit card service/Rules from
bank Bank",1,18/05/21 6:26
"Easily miles ahead of many other bank apps in navigation, features, etc., except for one hitch in the app. The equity prices of the portfolio in the Demat section (in a 3 in 1 account) does not get updated even on a delayed basis during the day!! This has been the status for almost 2 years now. I have complained many times about this but to no avail, despite being a private banking client. It is a big irritant, if the equity prices do not get updated even on a delayed basis, if not in real time, especially when markets are volatile. The situation is such that sometimes the price updates do not happen, even once a day!! Other than this big irritant, the app is a gem.",4,28/07/21 13:36
"Team - I am on latest ios and using my iPhone 6s. I used to like the A28 app, but the current design lacks user friendliness. The account and credit card summary boxes on top show overlapping and truncated texts. The credit card summary doesn’t show my current pending amount or my balance. What use is that for any user? These are UI design flaws.  I have emailed the bank mobile team with screenshots quite sometime back, but dont see and responses. I hope the team makes necessary changes soon.",5,04/02/20 4:26
"They force for demat account and provide instantly through complete online process. You will not get the same response for closing and it’s complete manual process and they try their level best to frustrate the customer. Without closing of demat account, you can’t close main account. So please don’t go for bank demat account.

Following are communication outcomes with customer care in a span of three months and still demat account was not closed,

1) To close the savings account, demat account should be closed.
2) Demat account can be opened online but can’t be closed by means of online.
3) Mail communication sufficient to close the demat account.
4) After giving the mail got the response like, Demat account can’t be closed through mail, account closure form should be submitted.
5) After submitting the demat account closure form, they asked for pan scan copy.
6) After giving the pan copy along with demat account closure form, they saying that mail id was not registered with the account.
7) After linking the mail id, they saying that the submitted closure request form is not in supporting format.

Such a brainless and should be ashamed.",1,20/05/21 7:23
"I have experienced an issue while trying to install the latest version where it asks for activation of the app every time. The reason being, we can select an mpin option or internet banking password option while installing the app, but if we select the check box of Use Touch ID, the real issue happens. For the first time it will allow us to login, but from second time on wards, the application will ask for activation again which is the problem. So to avoid this, choose only one option of use mpin or internet banking password or Touch ID, but do not mix two options like mpin and Touch ID. Hope all the affected users find this review as helpful.",3,01/02/18 6:19
"The app mostly does what it’s supposed to do like transaction details, card limit, and such other general functions. However, there’s an interface issue with the home page of 7.9 version of the app. There is text and border alignment issue as the details on the right side of the screen gets hidden, or not displayed properly. That needs to be fixed. 
Also, the bill payment option is limited to certain banks only; I never find the bank which I use to repay the bills. The app should include all the major banks at least (whether public or private) to make the bill repayment easier.",3,28/09/21 11:30
"App does the job but it has some issue like it was created by some 12 year old. For eg., after clicking manage cards, half page work fine but there are options below where there are options like 1) Raise a fraud dispute 2) Manage credit limit etc. And last has update email id and i wanted to update my email id but when ever i click on ‘update my email id’ menu open of ‘view and manage biling cycle’ and i was shocked to learn that bank bank app has glitches like i have never seen on any other app. I mean your apps clicks are going haywire, i mean you click on something and it will give command to open something else but other then that its ok, not good but ok.",2,22/10/21 2:22
"There are various bugs in the application (which may be specific to my case only). Some of them are mentioned below.

1. After logging in, the first screen should contain the savings account details, but it doesn’t show. I can only see my two credit cards at the top.

2. UPI icon is not available on the home screen or in anywhere in the menu. I could find it though using the HELP. The UPI icon should be available in the home screen itself just like in the screenshots given in the app description. I don’t know why it is not appearing on my home tab.

3. The application interface is not accurately compatible with the screens of iPhone X and above models. The interface get cut sometimes due to the screen incompatibility issue.

4. The application hangs very frequently.

5. Sometimes we go into the some menu and there’s no back button (no back slide also), so due to that we can’t go back and we have to forcefully close the application and restart the application. This creates the whole process cumbersome.

I am sure there are many more issues which I am unable to recall at this moment.",1,06/06/21 10:58
